"language","id","color","family"
"diitiidʔaaʔtx̣","26","RGB(255, 112, 255)","Wakashan"
"Haíłzaqvḷa","27","RGB(255, 128, 255)","Wakashan"
"Kwak̓wala","29","RGB(255, 176, 255)","Wakashan"
"nuučaan̓uɫ","25","RGB(255, 96, 176)","Wakashan"
"’Wuik̓ala","28","RGB(255, 0, 138)","Wakashan"
"X̄enaksialak̓ala / X̄a’islak̓ala","7","RGB(255, 0, 255)","Wakashan"
"Éy7á7juuthem","8","RGB(255, 216, 96)","Salishan"
"Hul’q’umi’num’ / Halq’eméylem / hən̓q̓əmin̓əm̓","9","RGB(255, 168, 80)","Salishan"
"Nəxʷsƛ̕ay̓əmúcən","14","RGB(255, 192, 128)","Salishan"
"Nłeʔkepmxcín","12","RGB(192, 48, 0)","Salishan"
"Nsyilxcən","36","RGB(255, 96, 96)","Salishan"
"Nuxalk","6","RGB(255, 244, 208)","Salishan"
"Pəntl’áč","42","RGB(0.5,0.5,0.5)","Salishan"
"Secwepemctsín","33","RGB(224, 0, 0)","Salishan"
"SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / T’Sou-ke","15","RGB(255, 128, 0)","Salishan"
"She shashishalhem","10","RGB(255, 88, 32)","Salishan"
"Sḵwx̱wú7mesh sníchim","11","RGB(255, 192, 0)","Salishan"
"St̓át̓imcets","13","RGB(224, 56, 0)","Salishan"
"Gitsenimx̱","31","RGB(208, 156, 0)","Tsimshianic"
"Nisg̱a’a","32","RGB(144, 108, 0)","Tsimshianic"
"Sgüüx̣s","38","RGB(0.5,0.5,0.5)","Tsimshianic"
"Sm̓algya̱x","34","RGB(192, 144, 0)","Tsimshianic"
"Dakelh","18","RGB(0, 208, 104)","Athabaskan-Eyak-Tlingit or Na-Dene"
"Dane-Ẕaa","22","RGB(144, 240, 0)","Athabaskan-Eyak-Tlingit or Na-Dene"
"Danezāgé’","17","RGB(0, 208, 0)","Athabaskan-Eyak-Tlingit or Na-Dene"
"Dene K’e","20","RGB(192, 255, 96)","Athabaskan-Eyak-Tlingit or Na-Dene"
"Den k’e","2","RGB(115, 192, 0)","Athabaskan-Eyak-Tlingit or Na-Dene"
"Lingít","23","RGB(255, 255, 144)","Athabaskan-Eyak-Tlingit or Na-Dene"
"Nedut’en / Witsuwit’en","16","RGB(0, 244, 112)","Athabaskan-Eyak-Tlingit or Na-Dene"
"Nicola","40","RGB(0.5,0.5,0.5)","Athabaskan-Eyak-Tlingit or Na-Dene"
"Southern Tutchone","19","RGB(0, 160, 0)","Athabaskan-Eyak-Tlingit or Na-Dene"
"Tāłtān","4","RGB(0, 224, 0)","Athabaskan-Eyak-Tlingit or Na-Dene"
"Tse’khene","3","RGB(80, 255, 80)","Athabaskan-Eyak-Tlingit or Na-Dene"
"Tsilhqot’in","5","RGB(112, 255, 112)","Athabaskan-Eyak-Tlingit or Na-Dene"
"Wetalh","39","RGB(0.5,0.5,0.5)","Athabaskan-Eyak-Tlingit or Na-Dene"
"X̱aad Kil / X̱aaydaa Kil","24","RGB(160, 0, 160)","Xaad Kil / Xaaydaa Kil"
"Ktunaxa","35","RGB(0, 0, 255)","Ktunaxa"
"Anishinaabemowin","37","RGB(0.5,0.5,0.5)","Algonquian"
"Nēhiyawēwin","21","RGB(176, 176, 176)","Algonquian"
